"Crowdsourced data on dried cannabis expenditure, prices and use.",,,,,,,,,,,,,,,,
"The application was launched January 25, 2018. Data are being collected continuously and will be made available as new information comes in.",,,,,,,,,,,,,,,,
"All submissions are reported below, however, the associated Daily is based on the information without any outlier (Outlier = 0).",,,,,,,,,,,,,,,,
Statistics Canada applies a set of criteria on the price variable to determine whether a submission is an outlier (Outlier =1).,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Submission Date,Expenditure,Quantity,Price,Outlier,Purpose,Usage,Source,Sex at Birth,First time,Legal status,Consumption,Census subdivision,Census division,Economic region,Province,Census metropolitan area
25/01/2018,0.001,0.0001,10,1,Medicate - with a medical document,,,,,,,Halifax,Halifax,Halifax,Nova Scotia / Nouvelle-Écosse,Halifax
25/01/2018,100,14,7.14,0,Use recreationally,Daily,,,,,0.5,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,212,35,6.06,0,Medicate - with a medical document,A few times per week,,,,,21,Gatineau,Gatineau,Outaouais,Quebec / Québec,Ottawa - Gatineau (partie du Québec / Quebec part)
25/01/2018,100,28,3.57,0,Use recreationally,A few times per week,,,,,7,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
25/01/2018,150,28,5.36,0,Use recreationally,A few times per week,,,,,14,Lévis,Lévis,Chaudière-Appalaches,Quebec / Québec,Québec
25/01/2018,58,7,8.29,0,Use recreationally,Daily,,,,,14,Laval,Laval,Laval,Quebec / Québec,Montréal
25/01/2018,40,7,5.71,0,Use recreationally,Daily,,,,,14,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
25/01/2018,180,28,6.43,0,Use recreationally,Daily,,,,,14,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
25/01/2018,100,28,3.57,0,Use recreationally,,,,,,,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,0.0001,0.00001,10,1,Medicate - with a medical document,,,,,,,Delta,Greater Vancouver,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,British Columbia / Colombie-Britannique,Vancouver
25/01/2018,0.001,0.0001,10,1,Medicate - with a medical document,,,,,,,Gatineau,Gatineau,Outaouais,Quebec / Québec,Ottawa - Gatineau (partie du Québec / Quebec part)
25/01/2018,5000,1,5000,1,Use recreationally,A few times per week,,,,,28,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
25/01/2018,0.001,0.0001,10,1,Use recreationally,,,,,,,Little Red River 106C,Division No. 15,Prince Albert,Saskatchewan,47 - NonCMA
25/01/2018,0.001,0.0001,10,1,Medicate - with a medical document,,,,,,,Gatineau,Gatineau,Outaouais,Quebec / Québec,Ottawa - Gatineau (partie du Québec / Quebec part)
25/01/2018,0.01,0.001,10,0,Use recreationally,Daily,,,,,0.5,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
25/01/2018,170,42,4.05,0,Use recreationally,Daily,,,,,56,Mascouche,Les Moulins,Lanaudière,Quebec / Québec,Montréal
25/01/2018,5,1,5,0,Use recreationally,,,,,,,Gatineau,Gatineau,Outaouais,Quebec / Québec,Ottawa - Gatineau (partie du Québec / Quebec part)
25/01/2018,140,28,5,0,Use recreationally,A few times per week,,,,,28,Saguenay,Le Saguenay-et-son-Fjord,Saguenay--Lac-Saint-Jean,Quebec / Québec,Saguenay
25/01/2018,75,28,2.68,0,Use recreationally,Daily,,,,,28,Montreal Lake 106,Division No. 18,Northern / Nord,Saskatchewan,47 - NonCMA
25/01/2018,0.01,0.01,1,1,Use recreationally,Daily,,,,,1,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
25/01/2018,40,7,5.71,0,Use recreationally,A few times per month,,,,,3.5,Longueuil,Longueuil,Montérégie,Quebec / Québec,Montréal
25/01/2018,20,3.5,5.71,0,Use recreationally,,,,,,,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,70,14,5,1,Use recreationally,Daily,,,,,28,Medicine Hat,Division No.  1,Lethbridge--Medicine Hat,Alberta,48 - NonCMA
25/01/2018,60,7,8.57,0,Use recreationally,Daily,,,,,14,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
25/01/2018,150,28,5.36,0,Use recreationally,Daily,,,,,0.5,Montréal-Est,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,140,28,5,0,Use recreationally,,,,,,,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,20,3.5,5.71,0,Use recreationally,Daily,,,,,0.5,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
25/01/2018,110,14,7.86,0,Use recreationally,A few times per week,,,,,7,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
25/01/2018,80,14,5.71,0,Use recreationally,,,,,,,Joliette,Joliette,Lanaudière,Quebec / Québec,24 - NonCMA
25/01/2018,10,1,10,0,Use recreationally,,,,,,,Gatineau,Gatineau,Outaouais,Quebec / Québec,Ottawa - Gatineau (partie du Québec / Quebec part)
