year, sales, average sale price
1972, 14613, $32513
1995, 39273, $203028
1973, 16335, $40605
1996, 55779, $198150
1974, 17318, $52806
1997, 58014, $211307
1975, 22020, $57581
1998, 55344, $216815
1976, 19025, $61389
1999, 58957, $228372
1977, 20512, $64559
2000, 58343, $243255
1978, 21184, $67333
2001, 67612, $251508
1979, 23466, $70830
2002, 74759, $275231
1980, 26017, $75694
2003, 78898, $293067
1981, 29625, $90203
2004, 83501, $315231
1982, 25336, $95496
2005, 84145, $335907
1983, 30046, $101626
2006, 83084, $351941
1984, 31905, $102318
2007, 93193, $376236
1985, 45509, $109094
2008, 74552, $379347
1986, 52919, $138925
2009, 87308, $395460
1987, 43475, $189105
2010, 85545, $431276
1988, 49381, $229635
2011, 89096, $465014
1989, 38960, $273698
2012, 85496, $497130
1990, 26779, $255020
2013, 87049, $522958
1991, 38144, $234313
2014, 92782, $566624
1992, 41703, $214971
2015, 101213, $622121
1993, 38990, $206490
2016, 113040, $729837
1994, 44237, $208921
2017, 92263, $822572
