Player,Player Stats,,Player,,,Cap Number,,Salary,
Name,Team,Pos,18-19,19-20,18-19,19-20,20-21,21-22,22-23
Jonathan Toews J. Toews,Chicago Blackhawks CHI,C,"$10,500,000","$10,500,000","$12,000,000","$9,800,000","$7,000,000","$6,900,000","$6,900,000"
Patrick Kane P. Kane,Chicago Blackhawks CHI,RW,"$10,500,000","$10,500,000","$12,000,000","$9,800,000","$7,000,000","$6,900,000","$6,900,000"
Anze Kopitar A. Kopitar,Los Angeles Kings LAK,C,"$10,000,000","$10,000,000","$12,000,000","$11,000,000","$8,000,000","$8,000,000","$7,000,000"
Alex Ovechkin A. Ovechkin,Washington Capitals WAS,LW,"$9,538,462","$9,538,462","$10,000,000","$10,000,000","$10,000,000",ufa,
Jamie Benn J. Benn,Dallas Stars DAL,LW,"$9,500,000","$9,500,000","$13,000,000","$13,000,000","$9,000,000","$8,500,000","$6,500,000"
Evgeni Malkin E. Malkin,Pittsburgh Penguins PIT,C,"$9,500,000","$9,500,000","$9,500,000","$9,500,000","$9,500,000","$9,500,000",ufa
P.K. Subban P. Subban,Nashville Predators NSH,RD,"$9,000,000","$9,000,000","$10,000,000","$10,000,000","$8,000,000","$8,000,000",ufa
Sidney Crosby S. Crosby,Pittsburgh Penguins PIT,C,"$8,700,000","$8,700,000","$10,000,000","$9,000,000","$9,600,000","$9,000,000","$3,000,000"
Corey Perry C. Perry,Anaheim Ducks ANA,RW,"$8,625,000","$8,625,000","$9,000,000","$8,000,000","$7,000,000",ufa,
Leon Draisaitl L. Draisaitl,Edmonton Oilers EDM,C,"$8,500,000","$8,500,000","$9,000,000","$9,000,000","$9,000,000","$8,000,000","$8,000,000"
Henrik Lundqvist H. Lundqvist,New York Rangers NYR,G,"$8,500,000","$8,500,000","$7,500,000","$7,000,000","$5,500,000",ufa,
Steven Stamkos S. Stamkos,Tampa Bay Lightning TBL,C,"$8,500,000","$8,500,000","$9,500,000","$9,500,000","$9,500,000","$7,500,000","$6,500,000"
Claude Giroux C. Giroux,Philadelphia Flyers PHI,C,"$8,275,000","$8,275,000","$9,000,000","$8,000,000","$7,200,000","$5,000,000",ufa
Jakub Voracek J. Voracek,Philadelphia Flyers PHI,RW,"$8,250,000","$8,250,000","$9,250,000","$9,250,000","$6,250,000","$7,500,000","$6,250,000"
Ryan Getzlaf R. Getzlaf,Anaheim Ducks ANA,C,"$8,250,000","$8,250,000","$8,950,000","$8,275,000","$6,000,000",ufa,
